word,avg_similarity_to_known,known_neighbour_count,total_degree,known_neighbour_score,degree_score,score
animals,0.81228846,3,8,1.0,0.008324661810613945,0.707809163919969
dogs,0.7929016,3,4,1.0,0.004162330905306972,0.6972832539637305
dna,0.6531786,1,961,0.3333333333333333,1.0,0.6265892863273621
ted,0.671149,1,839,0.3333333333333333,0.8730489073881373,0.6101842891909454
co,0.6528434,1,828,0.3333333333333333,0.8616024973985432,0.5987422073482846
tim,0.6585114,1,785,0.3333333333333333,0.8168574401664932,0.5926271881446878
male,0.6543149,1,724,0.3333333333333333,0.7533818938605619,0.5778338165734734
cats,0.9336628,1,1,0.3333333333333333,0.001040582726326743,0.5670395026345902
pan,0.6503348,1,673,0.3333333333333333,0.700312174817898,0.5652298226875023
rep,0.6819662,1,589,0.3333333333333333,0.6129032258064516,0.5635637379461719
pat,0.6981962,1,541,0.3333333333333333,0.562955254942768,0.5616891373456703
horses,0.9199067,1,1,0.3333333333333333,0.001040582726326743,0.5601614544530564
davis,0.65102464,1,600,0.3333333333333333,0.6243496357960457,0.5503822469624471
beast,0.81266975,1,9,0.3333333333333333,0.009365244536940686,0.5082079259215483
wildlife,0.80362105,1,7,0.3333333333333333,0.007284079084287201,0.5032673426646967
ron,0.6500169,1,318,0.3333333333333333,0.3309053069719043,0.49118951333301
mate,0.66204304,1,236,0.3333333333333333,0.24557752341311134,0.48013702219780474
wolf,0.7369188,1,4,0.3333333333333333,0.004162330905306972,0.46929186969592346
perry,0.6645615,1,139,0.3333333333333333,0.14464099895941726,0.4612089548349132
foster,0.69098425,1,3,0.3333333333333333,0.003121748178980229,0.44611647419329115
